Data;Fechamento;Abertura;Maxima;Minima;Var%
14062002;4303.85;4464.93;4464.93;4252.86;-3.72%
17062002;4475.10;4317.84;4483.29;4317.84;3.98%
18062002;4433.85;4481.02;4503.80;4398.73;-0.92%
19062002;4354.82;4423.83;4423.83;4321.90;-1.78%
20062002;4245.68;4352.31;4371.00;4199.85;-2.51%
21062002;4232.40;4244.24;4312.12;4153.31;-0.31%
24062002;4127.21;4233.87;4297.98;4045.52;-2.49%
25062002;4202.97;4129.46;4260.09;4129.46;1.84%
26062002;4099.05;4187.12;4187.12;3946.70;-2.47%
27062002;4259.43;4103.62;4259.43;4103.62;3.91%
28062002;4382.56;4275.29;4388.27;4275.29;2.89%
01072002;4366.81;4377.10;4443.69;4318.23;-0.36%
02072002;4195.95;4359.17;4359.17;4163.80;-3.91%
03072002;4138.15;4202.29;4252.49;4101.58;-1.38%
04072002;4258.62;4140.43;4258.62;4140.43;2.91%
05072002;4483.03;4268.23;4483.03;4268.23;5.27%
08072002;4442.33;4475.89;4476.15;4393.28;-0.91%
09072002;4369.76;4445.93;4480.49;4341.85;-1.63%
10072002;4190.22;4352.77;4354.23;4188.64;-4.11%
11072002;4118.50;4179.79;4179.79;4039.23;-1.71%
12072002;4130.80;4121.02;4249.77;4075.25;0.30%
15072002;3912.51;4124.53;4142.65;3912.51;-5.28%
16072002;3977.75;3913.12;4052.06;3825.54;1.67%
17072002;4092.82;3978.97;4105.69;3899.51;2.89%
18072002;4100.75;4095.44;4152.45;4031.91;0.19%
19072002;3891.88;4092.96;4092.96;3875.84;-5.09%
22072002;3691.43;3888.11;3888.11;3638.51;-5.15%
23072002;3515.83;3711.30;3810.51;3512.46;-4.76%
24072002;3632.66;3515.57;3641.07;3265.96;3.32%
25072002;3520.46;3632.90;3726.58;3472.84;-3.09%
26072002;3579.00;3526.29;3581.99;3368.29;1.66%
29072002;3859.78;3584.51;3859.78;3584.51;7.85%
30072002;3878.94;3852.93;3878.94;3741.79;0.50%
31072002;3700.14;3876.80;3945.38;3700.14;-4.61%
01082002;3606.45;3699.31;3806.97;3545.28;-2.53%
02082002;3532.49;3601.71;3624.23;3496.49;-2.05%
05082002;3332.65;3533.30;3536.05;3327.96;-5.66%
06082002;3568.64;3319.77;3601.57;3235.38;7.08%
07082002;3465.54;3570.11;3632.47;3440.57;-2.89%
08082002;3679.26;3473.48;3679.26;3473.48;6.17%
09082002;3760.86;3682.74;3760.86;3607.53;2.22%
12082002;3647.13;3750.26;3750.26;3639.46;-3.02%
13082002;3683.21;3660.40;3703.55;3553.12;0.99%
14082002;3589.92;3677.54;3677.54;3542.06;-2.53%
15082002;3665.74;3591.48;3722.93;3591.48;2.11%
16082002;3684.69;3665.67;3703.87;3576.01;0.52%
19082002;3837.67;3681.67;3846.72;3628.46;4.15%
20082002;3768.51;3842.41;3868.86;3765.08;-1.80%
21082002;3868.17;3770.75;3903.75;3770.75;2.64%
22082002;3906.55;3873.55;3930.96;3855.94;0.99%
23082002;3828.26;3911.22;3924.30;3815.28;-2.00%
26082002;3783.84;3830.08;3899.60;3749.93;-1.16%
27082002;3851.34;3791.43;3900.11;3770.66;1.78%
28082002;3682.84;3836.08;3836.08;3682.31;-4.38%
29082002;3660.95;3681.29;3697.54;3580.91;-0.59%
30082002;3712.94;3658.67;3720.50;3603.04;1.42%
02092002;3609.41;3698.69;3698.69;3602.37;-2.79%
03092002;3398.99;3609.03;3609.03;3398.99;-5.83%
04092002;3425.90;3396.80;3463.05;3348.63;0.79%
05092002;3354.71;3429.48;3466.68;3301.81;-2.08%
06092002;3485.68;3361.67;3486.51;3352.10;3.90%
09092002;3429.22;3480.57;3480.57;3383.68;-1.62%
10092002;3494.69;3437.11;3515.52;3437.11;1.91%
11092002;3584.69;3507.50;3615.59;3467.22;2.58%
12092002;3421.87;3573.22;3573.22;3421.87;-4.54%
13092002;3361.28;3406.58;3406.58;3275.28;-1.77%
16092002;3319.05;3359.33;3378.11;3288.22;-1.26%
17092002;3289.13;3321.76;3445.59;3243.81;-0.90%
18092002;3124.92;3277.41;3277.41;3111.01;-4.99%
19092002;3007.47;3136.33;3162.07;3007.47;-3.76%
20092002;3065.73;3001.88;3093.22;2956.56;1.94%
